#ID      EIFS 	      EIPFS 	   FSbin        FSseg
44 -7124.648420 0.000000 -6.535354 -3.420466
250 -7124.648420 0.000000 -6.535354 -3.420466
50 -7123.435037 0.000000 -5.321971 -2.207083
252 -7123.435037 0.000000 -5.321971 -2.207083
48 -7124.614851 0.000000 -6.501785 -3.386896
47 -7124.288947 0.000000 -6.175882 -3.060993
42 -7123.653602 0.000000 -5.540536 -2.425648
248 -7124.614851 0.000000 -6.501785 -3.386896
249 -7124.288947 0.000000 -6.175882 -3.060993
243 -7123.653602 0.000000 -5.540536 -2.425648
51 -7123.497976 0.000000 -5.384910 -2.270022
253 -7123.497976 0.000000 -5.384910 -2.270022
58 -7124.296699 0.000000 -6.183633 -3.068745
254 -7124.296699 0.000000 -6.183633 -3.068745
