#ID      EIGB 	      EIPGB 	   GBbin        GBseg
44 -7155.381940 0.000000 -3.642474 -0.527204
250 -7155.381940 0.000000 -3.642474 -0.527204
50 -7155.925978 0.000000 -4.186512 -1.071242
252 -7155.925978 0.000000 -4.186512 -1.071242
48 -7156.037654 0.000000 -4.298187 -1.182917
47 -7155.014544 0.000000 -3.275077 -0.159807
42 -7155.399346 0.000000 -3.659879 -0.544609
248 -7156.037654 0.000000 -4.298187 -1.182917
249 -7155.014544 0.000000 -3.275077 -0.159807
243 -7155.399346 0.000000 -3.659879 -0.544609
51 -7155.925978 0.000000 -4.186512 -1.071242
253 -7155.925978 0.000000 -4.186512 -1.071242
58 -7155.381940 0.000000 -3.642474 -0.527204
254 -7155.381940 0.000000 -3.642474 -0.527204
