#ID      EIFS 	      EIPFS 	   FSbin        FSseg
524 -29643.848011 -0.000115 -3.522351 -1.732211
1342 -29643.597297 -0.000115 -3.271637 -1.481497
101 -29643.598076 -0.000115 -3.272416 -1.482276
928 -29643.590968 -0.000115 -3.265308 -1.475168
1357 -29643.594249 -0.000115 -3.268589 -1.478449
105 -29643.587870 -0.000115 -3.262210 -1.472069
934 -29643.578955 -0.000115 -3.253295 -1.463155
1359 -29643.578172 -0.000115 -3.252512 -1.462371
513 -29643.589320 -0.000115 -3.263660 -1.473520
945 -29643.560494 -0.000115 -3.234834 -1.444694
83 -29643.559000 -0.000115 -3.233340 -1.443200
515 -29644.339904 -0.000115 -4.014244 -2.224104
1341 -29643.249135 -0.000115 -2.923475 -1.133335
98 -29643.248947 -0.000115 -2.923287 -1.133147
526 -29644.227566 -0.000115 -3.901906 -2.111766
1377 -29644.060945 -0.000115 -3.735285 -1.945145
108 -29645.035285 -0.000115 -4.709625 -2.919484
956 -29644.523831 -0.000115 -4.198171 -2.408030
1365 -29643.902830 -0.000115 -3.577170 -1.787030
549 -29644.025608 -0.000115 -3.699948 -1.909808
951 -29643.991454 -0.000115 -3.665794 -1.875654
106 -29643.995276 -0.000115 -3.669616 -1.879476
3878 -29643.894374 -0.000115 -3.568714 -1.778574
1393 -29643.637046 -0.000115 -3.311386 -1.521245
3459 -29643.634861 -0.000115 -3.309201 -1.519061
528 -29644.081069 -0.000115 -3.755409 -1.965269
1379 -29643.991352 -0.000115 -3.665692 -1.875552
110 -29643.994327 -0.000115 -3.668667 -1.878527
976 -29644.007470 -0.000115 -3.681810 -1.891670
1373 -29643.993512 -0.000115 -3.667852 -1.877712
107 -29643.997085 -0.000115 -3.671425 -1.881285
955 -29643.979128 -0.000115 -3.653468 -1.863327
1366 -29643.978640 -0.000115 -3.652980 -1.862840
543 -29644.019223 -0.000115 -3.693563 -1.903423
947 -29644.026015 -0.000115 -3.700355 -1.910215
124 -29644.027423 -0.000115 -3.701763 -1.911623
142 -29643.218334 -0.000115 -2.892674 -1.102534
963 -29643.218170 -0.000115 -2.892510 -1.102370
555 -29643.248866 -0.000115 -2.923206 -1.133066
133 -29643.213457 -0.000115 -2.887797 -1.097656
954 -29643.213275 -0.000115 -2.887615 -1.097474
557 -29643.231673 -0.000115 -2.906012 -1.115872
531 -29646.025478 -0.000115 -5.699818 -3.909678
1399 -29646.027578 -0.000115 -5.701918 -3.911778
119 -29646.014034 -0.000115 -5.688374 -3.898234
532 -29646.930598 -0.000115 -6.604938 -4.814797
946 -29645.315050 -0.000115 -4.989390 -3.199250
125 -29645.554839 -0.000115 -5.229179 -3.439039
535 -29646.679890 -0.000115 -6.354230 -4.564090
948 -29644.978372 -0.000115 -4.652712 -2.862572
128 -29644.978492 -0.000115 -4.652832 -2.862691
949 -29645.776919 -0.000115 -5.451259 -3.661118
126 -29645.776689 -0.000115 -5.451029 -3.660889
544 -29646.179926 -0.000115 -5.854266 -4.064126
130 -29643.590427 -0.000115 -3.264767 -1.474627
953 -29643.590574 -0.000115 -3.264914 -1.474773
554 -29644.011438 -0.000115 -3.685778 -1.895638
545 -29646.568552 -0.000115 -6.242892 -4.452752
950 -29643.328497 -0.000115 -3.002837 -1.212697
129 -29643.328948 -0.000115 -3.003288 -1.213148
