,delta_E_seg_GB_i,Fi,Xi,Pi
0,-2.87881014713265,5.4963129332231606e-08,1.0,5.4963129332231606e-08
1,-2.877158833955284,5.712733776858647e-08,1.0,5.712733776858647e-08
2,-2.875507520777917,5.9369348816352916e-08,1.0,5.9369348816352916e-08
3,-2.8738562076005505,6.169165048669151e-08,1.0,6.169165048669151e-08
4,-2.872204894423184,6.409679827830569e-08,1.0,6.409679827830569e-08
5,-2.870553581245817,6.658741656610284e-08,1.0,6.658741656610284e-08
6,-2.8689022680684504,6.916620000303736e-08,1.0,6.916620000303736e-08
7,-2.867250954891084,7.18359149347111e-08,1.0,7.18359149347111e-08
8,-2.8655996417137173,7.45994008262554e-08,1.0,7.45994008262554e-08
9,-2.8639483285363507,7.745957170102172e-08,1.0,7.745957170102172e-08
10,-2.8622970153589837,8.041941759056343e-08,1.0,8.041941759056343e-08
11,-2.8606457021816176,8.348200599537525e-08,1.0,8.348200599537525e-08
12,-2.8589943890042515,8.665048335582613e-08,1.0,8.665048335582613e-08
13,-2.8573430758268845,8.992807653269731e-08,1.0,8.992807653269731e-08
14,-2.8556917626495184,9.331809429670867e-08,1.0,9.331809429670867e-08
15,-2.8540404494721514,9.682392882639243e-08,1.0,9.682392882639243e-08
16,-2.8523891362947844,1.0044905721363609e-07,1.0,1.0044905721363609e-07
17,-2.850737823117418,1.0419704297621168e-07,1.0,1.0419704297621168e-07
18,-2.8490865099400517,1.0807153757654484e-07,1.0,1.0807153757654484e-07
19,-2.8474351967626848,1.1207628194598325e-07,1.0,1.1207628194598325e-07
20,-2.845783883585318,1.162151080137743e-07,1.0,1.162151080137743e-07
21,-2.844132570407952,1.2049194023994144e-07,1.0,1.2049194023994144e-07
22,-2.842481257230585,1.249107971512159e-07,1.0,1.249107971512159e-07
23,-2.8408299440532185,1.2947579287915477e-07,1.0,1.2947579287915477e-07
24,-2.8391786308758515,1.3419113869954345e-07,1.0,1.3419113869954345e-07
25,-2.8375273176984845,1.3906114457214775e-07,1.0,1.3906114457214775e-07
